,GENE_ID,name,distance,minor_allele_freq,rvalue,log10pvalue
0,ENSG00000000457.8,scyl3,12249.0,0.3822,-0.250791322829246,6.0296739850578405
1,,cyp51a1,,,,
2,ENSG00000002549.7,lap3,4792.0,0.3698,-0.23118907671460898,5.18943200947468
3,ENSG00000002745.7,wnt16,7824.0,0.1597,0.29612471723513695,8.25565959330144
4,,m6pr,,,,
5,ENSG00000003249.8,dbndd1,12478.0,0.2692,0.292517335962783,8.06351497219744
6,ENSG00000003402.12,cflar,12861.0,0.2588,-0.37537280279403606,13.189715045695698
7,ENSG00000004660.10,camkk1,7663.0,0.3986,0.33428914861743897,10.4564338712576
8,,polr2j,,,,
9,ENSG00000005156.5,lig3,16840.0,0.3105,-0.34070609621519393,10.857645781343
10,ENSG00000005700.10,ibtk,4530.0,,-0.24791523125694503,5.901902702850769
11,ENSG00000005882.6,pdk2,475.0,,-0.265474845860371,6.706541529849741
12,,ensg00000006075,,,,
13,ENSG00000006114.10,ensg00000006114,2998.0,,-0.27771107959247304,7.3025254435653695
14,ENSG00000006194.6,znf263,14416.0,,0.254563953623308,6.19964687077329
15,ENSG00000006282.13,spata20,5509.0,0.3375,-0.7542766531845191,68.81383532850839
16,,farp2,,,,
17,ENSG00000006695.5,cox10,19665.0,0.247,0.24978604280216501,5.984836709924901
18,ENSG00000007255.5,trappc6a,5612.0,0.2312,-0.262156923770688,6.549974190205259
19,ENSG00000007341.12,st7l,18053.0,0.486,0.363940529426298,12.389247990769698
20,ENSG00000008382.10,mpnd,12758.0,0.3207,0.315088945284875,9.31028128774799
21,ENSG00000008517.12,il32,26.0,0.1581,0.296817203396847,8.292850193623499
22,ENSG00000008988.5,rps20,6500.0,0.08866,0.36962282478529207,12.7831597766063
23,ENSG00000010270.9,stard3nl,4616.0,0.1106,0.23659975725462198,5.41424012332583
24,ENSG00000010278.6,cd9,14146.0,0.3574,0.248457709942002,5.92588317826074
25,ENSG00000010310.3,gipr,776.0,0.1552,0.27810016350251804,7.321960551655691
26,ENSG00000010361.7,fuz,5895.0,0.03295,-0.35051226808958297,11.4887967969136
27,ENSG00000010626.10,lrrc23,1021.0,,0.265862224618732,6.72496037805555
28,ENSG00000011052.16,nme1-nme2,12908.0,0.03195,-0.28104027029504497,7.4697958992102595
29,ENSG00000011105.7,tspan9,4027.0,0.3411,0.23603854180018802,5.390672032612259
30,ENSG00000011295.7,ttc19,14249.0,0.4225,0.457010261973276,19.8983332353642
31,ENSG00000011376.5,lars2,19935.0,0.07768,-0.23427594618189604,5.31702947662739
32,,plaur,,,,
33,ENSG00000011478.6,qpctl,10524.0,0.2602,0.336473701773545,10.5919833936205
34,,map4k3,,,,
35,ENSG00000011638.6,tmem159,14579.0,0.4048,0.314161079793555,9.256916015037039
36,ENSG00000012124.9,cd22,6175.0,0.09863999999999999,0.28372746821366196,7.6064252548792
37,ENSG00000012779.5,alox5,6724.0,0.03914,-0.338292143924412,10.705631047067099
38,ENSG00000013016.10,ehd3,14258.0,0.4167,-0.361999559970381,12.2564654646278
39,ENSG00000013288.4,man2b2,8918.0,0.1709,0.291299419827636,7.99924491603604
40,ENSG00000013374.10,nub1,5157.0,0.4515,0.300271937944289,8.479868935624419
41,ENSG00000013503.4,polr3b,369.0,0.22,-0.360965490071703,12.1860899133691
42,ENSG00000013561.13,rnf14,7299.0,0.1352,-0.307614761384859,8.88561361275419
43,,hebp1,,,,
44,ENSG00000014138.4,pola2,13297.0,0.153,-0.366029662702866,12.5331710737914
45,ENSG00000014164.5,zc3h3,5779.0,0.4355,-0.33972993331391804,10.796015234467498
46,ENSG00000014257.11,acp3,12488.5,,-0.25738517503907504,6.328524232585419
47,,matr3,,,,
48,,ttc27,,,,
49,,znf582,,,,
50,ENSG00000020922.7,mre11,122.0,0.027160000000000004,-0.26101083490412996,6.496386383307519
51,ENSG00000021300.7,plekhb1,11182.0,0.2568,0.3404607384226289,10.842134738150598
52,,serpinb1,,,,
53,ENSG00000022556.10,nlrp2,2228.0,0.2887,0.41828229627867297,16.4880940676382
54,ENSG00000023892.8,def6,17691.0,0.3628,0.24245789252119898,5.66372999024042
55,,hsf2,,,,
56,ENSG00000025434.14,nr1h3,11929.0,0.4834,-0.25645031730471896,6.2856503114519
57,ENSG00000025708.8,tymp,2562.0,0.4623,0.23316314571404997,5.27082991435875
58,ENSG00000025772.7,tomm34,86.0,0.1567,-0.39654634335613703,14.7576468564059
59,ENSG00000026297.10,rnaset2,687.0,0.3604,0.327368371370532,10.0340049730252
60,ENSG00000026751.11,slamf7,4811.0,0.1544,-0.3678131004569671,12.6568623242662
61,ENSG00000026950.12,btn3a1,19871.0,0.1148,0.349009970173736,11.3906752088523
62,,mipep,,,,
63,ENSG00000027847.8,b4galt7,2735.0,0.38299999999999995,-0.333767375850878,10.4242159200851
64,,snx1,,,,
65,,ank1,,,,
66,ENSG00000029639.6,tfb1m,3.0,0.385,-0.5200536652387341,26.466138493989398
67,ENSG00000030110.7,bak1,20.0,,-0.522684097730552,26.770841587293102
68,ENSG00000031691.5,cenpq,5078.0,0.4447,-0.6220094604721551,40.5005522290782
69,,sars1,,,,
70,ENSG00000032219.14,arid4a,7610.0,,-0.23285400984779603,5.258036005738901
71,ENSG00000032742.12,ift88,8256.0,0.3241,-0.329322036735466,10.152180186219699
72,ENSG00000034677.7,rnf19a,18237.0,0.4545,-0.241924552089555,5.640752135983419
73,ENSG00000035141.3,fam136a,3277.0,0.3988,-0.46754461840564704,20.903584881750604
74,ENSG00000035687.8,adss2,12480.0,0.1721,-0.24037069733211103,5.574109272747671
75,,timp2,,,,
76,,myom2,,,,
77,ENSG00000037757.8,mri1,2771.5,,-0.5136283812782461,25.7328722779361
78,ENSG00000038002.4,aga,279.0,0.3896,0.581854290978172,34.382155121476
79,,zfyve16,,,,
80,ENSG00000039650.4,pnkp,11298.0,,-0.27022468094957397,6.934401412488491
81,ENSG00000040199.13,phlpp2,1217.0,0.09784,-0.2622723238948,6.55538400336226
82,ENSG00000041802.6,lsg1,7525.0,,0.49334912813992104,23.517625855362102
83,,tnc,,,,
84,ENSG00000042445.9,retsat,10737.0,0.08686,-0.284285286862481,7.63496885848331
85,ENSG00000042493.10,capg,2034.0,0.22899999999999998,-0.332571155692336,10.3505814700115
86,ENSG00000043143.14,jade2,15040.0,0.2668,0.40872773378827004,15.7119043959235
87,ENSG00000043514.9,trit1,3671.0,0.05511,-0.525541194317099,27.104815018689198
88,ENSG00000043591.4,adrb1,5537.0,,0.461508324117581,20.3233232580741
89,ENSG00000044090.4,cul7,8021.0,0.1937,-0.254258762029563,6.185796234530669
